"ICAO","Name","Latitude","Longitude","IATA","GMT","Country code"
"SAWE","Hermes Quijada International Airport","-53.47","-67.46","RGA","-3","ARG"
"SAWG","Piloto Civil Norberto Fernandez International Airport","-51.39","-69.12","RGL","-3","ARG"
"SAWH","Ushuaia Airport","-54.49","-68.19","USH","-3","ARG"
"SAZB","Comandante Espora Airport","-38.43","-62.11","BHI","-3","ARG"
"SAZM","Astor Piazzolla International Airport","-37.56","-57.34","MDQ","-3","ARG"
"SAZN","Juan Domingo Peron International Airport","-38.57","-68.08","NQN","-3","ARG"
"SAZS","San Carlos de Bariloche Airport","-40.73","-71.1","BRC","-3","ARG"
"SBAR","Santa Maria Airport","-10.99","-37.04","SMC","-3","BRA"
"SBAT","Piloto Osvaldo Marques Dias Airport","-9.87","-56.06","AFL","-4","BRA"
"SBAU","Aracatuba Dario Guarita State Airport","-21.14","-50.25","ARU","-3","BRA"
"SBBE","Val de Cans International Airport","-1.38","-48.27","BEL","-4","BRA"
"SBBH","Pampulha Carlos Drummond de Andrade Airport","-19.45","-43.45","BHZ","-3","BRA"
"SBBR","Brasilia Presidente Juscelino Kubitschek International Airport","-15.51","-47.56","BSB","-3","BRA"
"SBBV","Boa Vista International Airport","2.5","-60.41","BVB","-4","BRA"
"SBCA","Cascavel Airport","-24.57","-53.29","CAC","-3","BRA"
"SBCF","Tancredo Neves International Airport","-19.38","-43.58","CNF","-3","BRA"
"SBCG","Campo Grande International Airport","-20.25","-54.3","CGR","-3","BRA"
"SBCH","Serafim Enoss Bertaso Airport","-27.06","-52.37","XAP","-3","BRA"
"SBCR","Corumba International Airport","-19","-57.4","CMG","-3","BRA"
"SBCT","Afonso Pena International Airport","-25.24","-49.15","CWB","-3","BRA"
"SBCX","Hugo Cantergiani Airport","-29.1","-51.11","CXJ","-3","BRA"
"SBCY","Cuiaba International Airport - Marechal Rondon","-15.39","-56.07","CGB","-3","BRA"
"SBCZ","Cruzeiro do Sul International Airport","-7.38","-72.38","CZS","-3","BRA"
"SBDN","Presidente Prudente State Airport","-22.1","-51.24","PPB","-3","BRA"
"SBEG","Manaus International Airport","-3.08","-59.59","MAO","-3","BRA"
"SBFI","Foz do Iguacu International Airport","-25.41","-54.27","IGU","-3","BRA"
"SBFL","Florianopolis-Hercilio Luz International Airport","-27.4","-48.33","FLN","-3","BRA"
"SBFN","Fernando De Noronha Airport","-3.51","-32.25","FEN","-3","BRA"
"SBFZ","Ortaleza-Pinto Martins International Airport","-3.46","-38.32","FOR","-3","BRA"
"SBGL","RIOgaleao - Tom Jobim International Airport","-22.49","-43.15","GIG","-3","BRA"
"SBGO","Goiania Airport","-16.4","-49.13","GYN","-3","BRA"
"SBGR","Governor Andre Franco Montoro International Airport","-23.3","-46.37","GRU","-3","BRA"
"SBHT","Altamira Airport","-3.12","-52.13","ATM","-3","BRA"
"SBIL","Jorge Amado Airport","-14.49","-39.02","IOS","-3","BRA"
"SBIP","Vale do Aco Regional Airport","-19.3","-42.32","IPN","-3","BRA"
"SBIZ","Imperatriz-Prefeito Renato Moreira Airport","-5.3","-47.25","IMB","-3","BRA"
"SBJF","Francisco Alvares de Assis Airport","-21.45","-43.2","JDF","-3","BRA"
"SBJP","Presidente Castro Pinto International Airport","-7.09","-34.58","JPA","-3","BRA"
"SBJV","Joinville-Lauro Carneiro de Loyola Airport","-26.14","-48.48","JOI","-3","BRA"
"SBKG","Presidente Joao Suassuna Airport","-7.16","-35.54","CPV","-3","BRA"
"SBKP","Viracopos International Airport","-23","-47.08","VCP","-3","BRA"
"SBLO","Londrina Airport","-23.2","-51.08","LDB","-3","BRA"
"SBMA","Maraba Airport","-5.22","-49.1","MAB","-3","BRA"
"SBMG","Maringa Regional Airport","-23.25","-51.58","MGF","-3","BRA"
"SBMK","Montes Claros/Mario Ribeiro Airport","-16.43","-43.49","MOC","-3","BRA"
"SBMO","Maceio/Zumbi dos Palmares International Airport","-9.38","-35.42","MCZ","-3","BRA"
"SBMQ","Macapa-Alberto Alcolumbre International Airport","0.04","-51.04","MCP","-3","BRA"
"SBNF","Navegantes International Airport","-26.55","-48.35","NVT","-3","BRA"
"SBNM","Sepe Tiaraju Airport","-28.16","-54.16","GEL","-3","BRA"
"SBNT","Natal International Airport","-5.5","-35.12","NSA","-3","BRA"
"SBPA","Salgado Filho Porto Alegre International Airport","-30.04","-51.11","POA","-3","BRA"
"SBPF","Lauro Kurtz Airport","-28.15","-52.2","PFB","-3","BRA"
"SBPJ","Palmas Brigadeiro Lysias Rodrigues Airport","-10.29","-48.36","PMW","-3","BRA"
"SBPK","Pelotas International Airport","-31.43","-52.19","PET","-3","BRA"
"SBPL","Petrolina Senador Nilo Coelho Airport","-9.23","-40.3","PNZ","-3","BRA"
"SBPV","Governador Jorge Teixeira de Oliveira International Airport","-8.45","-63.54","PVH","-3","BRA"
"SBRB","Rio Branco International Airport","-10","-67.49","RBR","-3","BRA"
"SBRF","Recife/Guararapes Gilberto Freyre International Airport","-8.08","-34.55","REC","-3","BRA"
"SBRG","Rio Grande Airport","-32.05","-52.1","RIG","-3","BRA"
"SBRJ","Santos Dumont Airport","-22.5","-43.15","SDU","-3","BRA"
"SBRP","Dr. Leite Lopes Ribeirao Preto State Airport","-21.09","-47.46","RAO","-3","BRA"
"SBSJ","Sao Josa dos Campos Airport","-23.11","-46.07","SJK","-3","BRA"
"SBSL","Sao Luiz International Airport","-2.35","-44.12","SLZ","-3","BRA"
"SBSM","Santarem International Airport","-2.25","-54.42","STM","-3","BRA"
"SBSP","Congonhas-Sao Paulo Airport","-23.38","-46.39","CGH","-3","BRA"
"SBSR","Sao Jose do Rio Preto Airport","-20.48","-49.23","SJP","-3","BRA"
"SBSV","Salvador   Deputado Luis Eduardo Magalhaes International Airport","-12.59","-38.31","SSA","-3","BRA"
"SBTE","Teresina Senador Petronio Portella Airport","-5.04","-42.49","THE","-3","BRA"
"SBTF","Tefe Airport","-3.22","-64.42","TFF","-4","BRA"
"SBTT","Tabatinga International Airport","-4.14","-69.55","TBT","-4","BRA"
"SBTU","Tucurui Airport","-3.42","-49.44","TUR","-3","BRA"
"SBUG","Uruguaiana International Airport","-29.47","-57.02","URG","-3","BRA"
"SBUL","Uberlandia Tenenete Coronel Aviador Cesar Bombonato Airport","-18.54","-48.15","UDI","-3","BRA"
"SBUR","Uberaba Mario de Almeida Franco Airport","-19.45","-47.57","UBA","-3","BRA"
"SBVH","Vilhena Airport","-12.38","-60.08","BVH","-4","BRA"
"SBVT","Eurico de Aguiar Salles Airport","-20.18","-40.15","VIX","-3","BRA"
"SCAR","Chacalluta International Airport","-18.35","-70.19","ARI","-3","CHL"
"SCBA","Balmaceda Airport","-45.55","-71.42","BBA","-3","CHL"
"SCCF","El Loa Airport","-22.29","-68.55","CJC","-3","CHL"
"SCCI","Presidente Carlos Ibanez del Campo International Airport","-53.06","-70.53","PUQ","-3","CHL"
"SCDA","Diego Aracena International Airport","-20.32","-70.11","IQQ","-3","CHL"
"SCEL","Arturo Merino Benitez Airport","-33.33","-70.42","SCL","-3","CHL"
"SCFA","Andres Sabella Galvez International Airport","-23.45","-70.27","ANF","-3","CHL"
"SCHA","Chamonate Airport","-27.22","-70.21","CPO","-3","CHL"
"SCIE","Carriel Sur International Airport","-36.47","-73.05","CCP","-3","CHL"
"SCIP","Mataveri International Airport","-27.07","-109.22","IPC","-3","CHL"
"SCJO","Canal Bajo Carlos Hott Siebert Airport","-40.36","-73.02","ZOS","-3","CHL"
"SCSE","La Florida International Airport","-29.55","-71.12","LSC","-4","CHL"
"SCTC","Maquehue Airport","-38.46","-72.38","PZS","-3","CHL"
"SCTE","El Tepual Airport","-41.29","-72.51","PMC","-3","CHL"
"SCVD","Pichoy Airport","-39.46","-73.14","ZAL","-3","CHL"
"SECO","Francisco de Orellana Airport","-0.29","-76.58","OCC","-5","ECU"
"SECU","Mariscal Lamar International Airport","-2.54","-78.58","CUE","-5","ECU"
"SEES","Colonel Carlos Concha Torres Airport","0.57","-79.36","ESM","-5","ECU"
"SEGS","Seymour Ecological Galapagos Airport","-0.26","-90.16","GPS","-5","ECU"
"SEGU","Jose Joaquin de Olmedo International Airport","-2.1","-79.52","GYE","-5","ECU"
"SELA","Nueva Loja Airport","0.06","-76.53","LGQ","-5","ECU"
"SELO","Catamayo City Airport","-3.53","-79.14","LOH","-5","ECU"
"SEMT","Eloy Alfaro International Airport","-0.57","-80.41","MEC","-5","ECU"
"SEQM","Quito Mariscal Sucre International Airport","-6.48","-78.21","UIO","-5","ECU"
"SEQU","Old Mariscal Sucre International Airport","-0.08","-78.29","UIO","-5","ECU"
"SGAS","Silvio Pettirossi International Airport","-25.16","-57.4","ASU","-4","PRY"
"SKAR","El Eden International Airport","4.31","-75.4","AXM","-5","COL"
"SKAS","Tres de Mayo Airport","0.3","-76.25","PUU","-3","COL"
"SKBG","Palonegro International Airport","7.06","-73.09","BGA","-5","COL"
"SKBO","El Dorado International Airport","4.42","-74.09","BOG","-5","COL"
"SKBQ","Ernesto Cortissoz International Airport","10.53","-74.47","BAQ","-5","COL"
"SKBU","Gerardo Tovar Lopez Airport","3.82","-77","BUN","-5","COL"
"SKCC","Camilo Daza International Airport","7.55","-72.32","CUC","-5","COL"
"SKCG","Rafael Nunez International Airport","10.27","-75.31","CTG","-5","COL"
"SKCL","Alfonso Bonilla Aragon International Airport","3.22","-76.29","KCL","-5","COL"
"SKCO","La Florida Airport","1.5","-78.45","TCO","-5","COL"
"SKCZ","Las Brujas Airport","9.2","-75.17","CZU","-5","COL"
"SKEJ","Yariguies Airport","7.01","-73.46","EJA","-5","COL"
"SKFL","Gustavo Artunduaga Paredes Airport","1.35","-75.32","FLA","-5","COL"
"SKGP","Guapi Airport","2.35","-77.54","GPI","-5","COL"
"SKIB","Perales National Airport","4.25","-75.09","IBE","-5","COL"
